title,url
Paxton Farms,https://www.drhorton.com/alabama/baldwin/foley/paxton-farms
Marion Spot Lots,https://www.drhorton.com/florida/west-central-florida/ocala/marion-spot-lots
Avalon Park Tavares,https://www.drhorton.com/florida/central-florida/tavares/avalon-park-tavares
Citrus County Spot Lots,https://www.drhorton.com/florida/west-central-florida/citrus-springs/citrus-county-spot-lots
Ocala Crossings South,https://www.drhorton.com/florida/west-central-florida/ocala/ocala-crossings-south
Rosewood,https://www.drhorton.com/alabama/baldwin/foley/rosewood
Waterford,https://www.drhorton.com/florida/west-central-florida/brooksville/waterford
Sunset Hills,https://www.drhorton.com/florida/west-central-florida/summerfield/sunset-hills
Sherman Oaks,https://www.drhorton.com/florida/west-central-florida/brooksville/sherman-oaks
Seagrass,https://www.drhorton.com/florida/southwest-florida/punta-gorda/seagrass
Phillips Place,https://www.drhorton.com/georgia/southern-georgia/hahira/phillips-place
Primland,https://www.drhorton.com/alabama/baldwin/foley/primland
Owls Head Farms,https://www.drhorton.com/florida/panama-city/freeport/owls-head-farms
Central Park,https://www.drhorton.com/florida/east-florida/port-st-lucie/central-park
Asher Park,https://www.drhorton.com/florida/southwest-florida/fort-myers/asher-park
Hodges Bayou Plantation,https://www.drhorton.com/florida/panama-city/panama-city/hodges-bayou-plantation
Central Park 50s,https://www.drhorton.com/florida/east-florida/port-st-lucie/central-park-50s
Ruskin Reserve Townhomes,https://www.drhorton.com/florida/tampa/ruskin/ruskin-reserve-townhomes
Cape Coral Signature,https://www.drhorton.com/florida/southwest-florida/cape-coral/cape-coral-signature
Wesley Park,https://www.drhorton.com/florida/tallahassee/tallahassee/wesley-park
The Hammocks,https://www.drhorton.com/florida/tallahassee/tallahassee/the-hammocks
Ruskin Reserve,https://www.drhorton.com/florida/tampa/ruskin/ruskin-reserve
Spears Crossing,https://www.drhorton.com/florida/tallahassee/tallahassee/spears-crossing
Morningside,https://www.drhorton.com/florida/east-florida/fort-pierce/morningside
Gateway Crossing,https://www.drhorton.com/florida/east-florida/titusville/gateway-crossing
Express-PSL-Spot-Lots,https://www.drhorton.com/florida/east-florida/port-st-lucie/express-psl-spot-lots
Sebastian Highlands,https://www.drhorton.com/florida/east-florida/sebastian/sebastian-highlands
Harvest Landing,https://www.drhorton.com/florida/east-florida/rockledge/harvest-landing
Express-Indian-River-Preserve,https://www.drhorton.com/florida/east-florida/mims/express-indian-river-preserve
Chelsea Court Townhomes,https://www.drhorton.com/florida/tampa/tampa/chelsea-court-townhomes
Crystal Bay Estates,https://www.drhorton.com/florida/east-florida/grant-valkaria/crystal-bay-estates
Palm Bay North,https://www.drhorton.com/florida/east-florida/palm-bay/palm-bay-north
Hemingway Pointe,https://www.drhorton.com/florida/southwest-florida/fort-myers/hemingway-pointe
Express-Palm-Bay-Brevard,https://www.drhorton.com/florida/east-florida/palm-bay/express-palm-bay-brevard
Deep Creek Express Homes,https://www.drhorton.com/florida/southwest-florida/port-charlotte/deep-creek-express-homes
Grande Hammock,https://www.drhorton.com/florida/east-florida/vero-beach/grande-hammock
Vero Beach Highlands,https://www.drhorton.com/florida/east-florida/vero-beach/vero-beach-highlands
Harbor Lake Estates,https://www.drhorton.com/florida/east-florida/titusville/harbor-lake-estates
Central Park Townhomes,https://www.drhorton.com/florida/east-florida/port-st-lucie/central-park-townhomes
Cypress Bay West,https://www.drhorton.com/florida/east-florida/palm-bay/cypress-bay-west
Brighton Pointe,https://www.drhorton.com/florida/southwest-florida/fort-myers/brighton-pointe
Bentley Crossing,https://www.drhorton.com/florida/southwest-florida/fort-myers/bentley-crossing
Central Parc,https://www.drhorton.com/florida/southwest-florida/north-port/central-parc
Cove at West Port Express,https://www.drhorton.com/florida/southwest-florida/port-charlotte/cove-at-west-port-express
Cape Coral South,https://www.drhorton.com/florida/southwest-florida/cape-coral/cape-coral-south
Cape Coral North,https://www.drhorton.com/florida/southwest-florida/cape-coral/cape-coral-north
Gavins Landing THs,https://www.drhorton.com/florida/pensacola/pensacola/gavins-landing-ths
Ledgestone,https://www.drhorton.com/florida/pensacola/pensacola/ledgestone
Parkside,https://www.drhorton.com/florida/panama-city/santa-rosa-beach/parkside
Gulf Cove Express Homes,https://www.drhorton.com/florida/southwest-florida/port-charlotte/gulf-cove-express-homes
South Gulf Cove,https://www.drhorton.com/florida/southwest-florida/port-charlotte/south-gulf-cove
Towns at Woodsdale Villas,https://www.drhorton.com/florida/tampa/wesley-chapel/towns-at-woodsdale-villas
Graystone-Estates,https://www.drhorton.com/florida/pensacola/pensacola/graystone-estates
Orchid Reserve,https://www.drhorton.com/florida/east-florida/sebastian/orchid-reserve
Towns at Woodsdale,https://www.drhorton.com/florida/tampa/wesley-chapel/towns-at-woodsdale
Hamilton Bluff,https://www.drhorton.com/florida/central-florida/haines-city/hamilton-bluff
Crosswinds,https://www.drhorton.com/florida/central-florida/haines-city/crosswinds
Harmony at Lake Eloise,https://www.drhorton.com/florida/central-florida/winter-haven/harmony-at-lake-eloise
Nellie Preserve,https://www.drhorton.com/florida/panama-city/santa-rosa-beach/nellie-preserve
Leomas Landing PH2 PH3,https://www.drhorton.com/florida/central-florida/lake-wales/leomas-landing-ph2--ph3
Caballeros Estates Townhomes at Hombre,https://www.drhorton.com/florida/panama-city/panama-city-beach/caballeros-estates-townhomes-at-hombre
River Walk,https://www.drhorton.com/florida/panama-city/freeport/river-walk
Caballeros Estates at Hombre,https://www.drhorton.com/florida/panama-city/panama-city-beach/caballeros-estates-at-hombre
Sagebrush,https://www.drhorton.com/alabama/montgomery/headland/sagebrush
Hawks Landing,https://www.drhorton.com/florida/panama-city/santa-rosa-beach/hawks-landing
Palm Coast Villas,https://www.drhorton.com/florida/north-florida/palm-coast/palm-coast-villas
Wynwood,https://www.drhorton.com/florida/central-florida/ocoee/wynwood
Kaheely Ridge,https://www.drhorton.com/florida/pensacola/pensacola/kaheely-ridge
Angeline,https://www.drhorton.com/florida/tampa/land-o-lakes/angeline
Bayside at Ward Creek,https://www.drhorton.com/florida/panama-city/panama-city-beach/bayside-at-ward-creek
Rhetts Run,https://www.drhorton.com/florida/pensacola/jay/rhetts-run
Three Hollow East,https://www.drhorton.com/florida/pensacola/jay/three-hollow-east
Sanctuary,https://www.drhorton.com/florida/pensacola/cantonment/sanctuary
Kindlewood Forest,https://www.drhorton.com/florida/north-florida/middleburg/kindlewood-forest
Sandal Key,https://www.drhorton.com/florida/west-central-florida/weeki-wachee/sandal-key
Summer Salt,https://www.drhorton.com/alabama/baldwin/orange-beach/summer-salt
Hadley Village,https://www.drhorton.com/alabama/baldwin/foley/hadley-village
Pine Creek,https://www.drhorton.com/florida/panama-city/port-st-joe/pine-creek
Twin Oaks,https://www.drhorton.com/florida/southeast-florida/stuart/twin-oaks
Kindred,https://www.drhorton.com/florida/central-florida/kissimmee/kindred
Ashton Park Phase III,https://www.drhorton.com/florida/panama-city/freeport/ashton-park-phase-iii
Liberty,https://www.drhorton.com/florida/panama-city/panama-city/liberty
Newberry Court,https://www.drhorton.com/florida/southeast-florida/haverhill/newberry-court
Buena Lago,https://www.drhorton.com/florida/central-florida/saint-cloud/buena-lago
Sandalwood,https://www.drhorton.com/florida/central-florida/new-smyrna-beach/sandalwood
Lancelot Townhomes,https://www.drhorton.com/florida/pensacola/milton/lancelot-townhomes
Palmetto Bluff,https://www.drhorton.com/florida/panama-city/panama-city/palmetto-bluff
Lakes of Woodbine,https://www.drhorton.com/florida/pensacola/pace/lakes-of-woodbine
Freedom-JB-Ranch,https://www.drhorton.com/florida/west-central-florida/ocala/freedom-jb-ranch
Twisted Oaks,https://www.drhorton.com/florida/west-central-florida/wildwood/twisted-oaks
Oaks Preserve,https://www.drhorton.com/florida/west-central-florida/gainesville/oaks-preserve
Graylyn,https://www.drhorton.com/georgia/southern-georgia/hahira/graylyn
Ryma Oaks,https://www.drhorton.com/alabama/montgomery/rehobeth/ryma-oaks
Halls Creek,https://www.drhorton.com/alabama/montgomery/dothan/halls-creek
Windmark-Beach,https://www.drhorton.com/florida/panama-city/port-st-joe/windmark-beach
Sunny Hills Spot Lots,https://www.drhorton.com/florida/panama-city/chipley/sunny-hills-spot-lots
Titus Park Phase II,https://www.drhorton.com/florida/panama-city/panama-city/titus-park-phase-ii
Northridge Reserve,https://www.drhorton.com/florida/central-florida/longwood/northridge-reserve
Westgate at Avalon Park,https://www.drhorton.com/florida/tampa/wesley-chapel/westgate-at-avalon-park
Charlie Day Estates,https://www.drhorton.com/florida/pensacola/crestview/charlie-day-estates
Misting Springs,https://www.drhorton.com/florida/tallahassee/crawfordville/misting-springs
Roberts Cove,https://www.drhorton.com/alabama/baldwin/foley/roberts-cove
Morningside,https://www.drhorton.com/florida/panama-city/panama-city/morningside
Park Place,https://www.drhorton.com/florida/panama-city/callaway/park-place
Jakes Landing,https://www.drhorton.com/florida/panama-city/panama-city/jakes-landing
Poinciana Enclave,https://www.drhorton.com/florida/central-florida/poinciana/poinciana-enclave
Bridgewater,https://www.drhorton.com/florida/north-florida/st-augustine/bridgewater
Salt Creek at Mexico Beach,https://www.drhorton.com/florida/panama-city/port-st-joe/salt-creek-at-mexico-beach
Redfish Cove - TRU,https://www.drhorton.com/florida/panama-city/port-st-joe/redfish-cove---tru
Fallchase at Pathstone,https://www.drhorton.com/florida/pensacola/pensacola/fallchase-at-pathstone
Harbor Landing,https://www.drhorton.com/florida/manatee-sarasota/palm-harbor/harbor-landing
Nottingham Park,https://www.drhorton.com/florida/central-florida/apopka/nottingham-park
Twisted Oaks,https://www.drhorton.com/florida/west-central-florida/beverly-hills/twisted-oaks
The Porches,https://www.drhorton.com/alabama/baldwin/elberta/the-porches
Pheasant Run,https://www.drhorton.com/alabama/baldwin/elberta/pheasant-run
Spanish Cove,https://www.drhorton.com/alabama/baldwin/lillian/spanish-cove
Old Mission Cove,https://www.drhorton.com/florida/central-florida/new-smyrna-beach/old-mission-cove
Chase Farms,https://www.drhorton.com/florida/pensacola/pace/chase-farms
Archers Mill,https://www.drhorton.com/florida/central-florida/ormond-beach/archers-mill
Midtown Oaks,https://www.drhorton.com/florida/pensacola/pensacola/midtown-oaks
Cedar Village,https://www.drhorton.com/florida/pensacola/pensacola/cedar-village
Fountain View,https://www.drhorton.com/florida/central-florida/ormond-beach/fountain-view
The Oaks,https://www.drhorton.com/florida/southeast-florida/palm-city/the-oaks
Halifax at Plantation,https://www.drhorton.com/florida/central-florida/ormond-beach/halifax-at-plantation
Willow Point,https://www.drhorton.com/alabama/montgomery/dothan/willow-point
Reserve at Brookhaven,https://www.drhorton.com/florida/pensacola/pensacola/reserve-at-brookhaven
Two Rivers,https://www.drhorton.com/florida/tampa/zephyrhills/two-rivers
Summit View,https://www.drhorton.com/florida/tampa/dade-city/summit-view
Grand Reserve,https://www.drhorton.com/florida/north-florida/bunnell/grand-reserve
Farm at Varrea,https://www.drhorton.com/florida/tampa/plant-city/farm-at-varrea
Hernando Spot Lots,https://www.drhorton.com/florida/west-central-florida/spring-hill/hernando-spot-lots
Stonebrooke,https://www.drhorton.com/georgia/southern-georgia/valdosta/stonebrooke
Bemiss Springs,https://www.drhorton.com/georgia/southern-georgia/valdosta/bemiss-springs
Autumns Wood,https://www.drhorton.com/georgia/brunswick/brunswick/autumns-wood
Woodlands,https://www.drhorton.com/florida/pensacola/pace/woodlands
Residences at Nature Creek,https://www.drhorton.com/florida/pensacola/pensacola/residences-at-nature-creek
Entrada 40s Exp,https://www.drhorton.com/florida/north-florida/st-augustine/entrada-40s-exp
Owls Head East,https://www.drhorton.com/florida/panama-city/freeport/owls-head--east
Cordera Townhomes,https://www.drhorton.com/florida/north-florida/st-augustine/cordera-townhomes
Inlet Reach,https://www.drhorton.com/florida/north-florida/st-marys/inlet-reach
The Towns at Laurel Commons,https://www.drhorton.com/florida/west-central-florida/ocala/the-towns-at-laurel-commons
Lehigh Acres Homes,https://www.drhorton.com/florida/southwest-florida/lehigh-acres/lehigh-acres-homes
Ravenswood Village,https://www.drhorton.com/florida/north-florida/st-augustine/ravenswood-village
Cordera Townhomes Express,https://www.drhorton.com/florida/north-florida/st-augustine/cordera-townhomes-express
Stokes Landing,https://www.drhorton.com/florida/north-florida/st-augustine/stokes-landing
Buchanan Trails,https://www.drhorton.com/florida/west-central-florida/newberry/buchanan-trails
Briarwood,https://www.drhorton.com/florida/west-central-florida/alachua/briarwood
Huntington Ridge,https://www.drhorton.com/florida/west-central-florida/ocala/huntington-ridge
Ocala Preserve,https://www.drhorton.com/florida/west-central-florida/ocala/ocala-preserve
Palmer Pointe,https://www.drhorton.com/florida/tallahassee/tallahassee/palmer-pointe
Harvest Ridge,https://www.drhorton.com/florida/tampa/zephyrhills/harvest-ridge
Autumn Glen,https://www.drhorton.com/florida/west-central-florida/belleview/autumn-glen
Hansell Hill,https://www.drhorton.com/florida/tallahassee/tallahassee/hansell-hill
Avalon Woods,https://www.drhorton.com/florida/west-central-florida/newberry/avalon-woods
Deer Path,https://www.drhorton.com/florida/west-central-florida/ocala/deer-path
Stokes Landing Express,https://www.drhorton.com/florida/north-florida/st-augustine/stokes-landing-express
Lake-Diamond,https://www.drhorton.com/florida/west-central-florida/ocala/lake-diamond
Ravenswood Village Express,https://www.drhorton.com/florida/north-florida/st-augustine/ravenswood-village-express
Finley Woods,https://www.drhorton.com/florida/west-central-florida/gainesville/finley-woods
McKenzie Gardens,https://www.drhorton.com/georgia/brunswick/brunswick/mckenzie-gardens
Pine Creek,https://www.drhorton.com/florida/tampa/trinity/pine-creek
Woodcreek,https://www.drhorton.com/florida/tampa/wesley-chapel/woodcreek
Mirada Villas,https://www.drhorton.com/florida/tampa/san-antonio/mirada-villas
Westridge Park,https://www.drhorton.com/florida/central-florida/zellwood/westridge-park
Sawmill Branch Express,https://www.drhorton.com/florida/north-florida/palm-coast/sawmill-branch-express
Buena Lago Modern,https://www.drhorton.com/florida/central-florida/saint-cloud/buena-lago-modern
Osceola Village,https://www.drhorton.com/florida/central-florida/kissimmee/osceola-village
Westwood,https://www.drhorton.com/florida/tampa/land-o-lakes/westwood
The Landing at Brannan Field,https://www.drhorton.com/florida/north-florida/middleburg/the-landing-at-brannan-field
Farm at Varrea Villas,https://www.drhorton.com/florida/tampa/plant-city/farm-at-varrea-villas
Angeline Townhomes,https://www.drhorton.com/florida/tampa/land-o-lakes/angeline-townhomes
Marlin Place,https://www.drhorton.com/florida/pensacola/milton/marlin-place
waterleigh,https://www.drhorton.com/florida/central-florida/winter-garden/waterleigh
Windrose,https://www.drhorton.com/florida/central-florida/apopka/windrose
Sawmill Branch,https://www.drhorton.com/florida/north-florida/palm-coast/sawmill-branch
Sawmill Branch Freedom,https://www.drhorton.com/florida/north-florida/palm-coast/sawmill-branch-freedom
